gene	chromosome	gene_tss	gene_end
RANP1	CHR_HSCHR6_MHC_SSTO_CTG1	30478177	30478827
AC026950.1	CHR_HSCHR8_2_CTG1	883198	1140708
AC138827.2	CHR_HSCHR5_2_CTG1_1	70181513	70181513
GTF2H2C_2	CHR_HSCHR5_2_CTG1_1	70214667	70214752
AL671859.8	CHR_HSCHR6_MHC_COX_CTG1	30025770	30025837
AC129915.1	CHR_HSCHR8_2_CTG1	1021688	1022635
AL671859.6	CHR_HSCHR6_MHC_COX_CTG1	30048011	30048086
AC129915.2	CHR_HSCHR8_2_CTG1	1107813	1107997
CR388205.7	CHR_HSCHR6_MHC_DBB_CTG1	30051409	30051512
MEGF11	CHR_HSCHR15_2_CTG8	65912200	66265884
GIHCG	CHR_HSCHR12_1_CTG2_1	57936175	57936175
AC093627.12	CHR_HSCHR7_1_CTG1	95683	95683
AC093627.13	CHR_HSCHR7_1_CTG1	77038	80418
AC093614.2	CHR_HSCHR7_1_CTG1	149063	149167
ATP23	CHR_HSCHR12_1_CTG2_1	57941541	57957269
AC093614.1	CHR_HSCHR7_1_CTG1	149303	155171
AC093627.9	CHR_HSCHR7_1_CTG1	168277	168277
AC093627.8	CHR_HSCHR7_1_CTG1	178225	179318
AC093627.10	CHR_HSCHR7_1_CTG1	197485	197485
AC084033.7	CHR_HSCHR12_1_CTG2_1	57967058	57968399
RN7SKP65	CHR_HSCHR12_1_CTG2_1	57978277	57978277
AC084033.3	CHR_HSCHR12_1_CTG2_1	57984761	57984761
LINC02403	CHR_HSCHR12_1_CTG2_1	58097051	58097709
AL845439.2	CHR_HSCHR6_MHC_QBL_CTG1	30050669	30050772
AC087382.2	CHR_HSCHR15_2_CTG8	66270636	66273940
AC087382.1	CHR_HSCHR15_2_CTG8	66291180	66291180
AC217778.2	CHR_HSCHR17_1_CTG5	45396950	45397495
AL671859.7	CHR_HSCHR6_MHC_COX_CTG1	30050976	30051079
CR753815.4	CHR_HSCHR6_MHC_DBB_CTG1	30123286	30123286
PPP1R10	CHR_HSCHR6_MHC_MCF_CTG1	30695699	30697067
MAPT-IT1	CHR_HSCHR17_2_CTG5	45907408	45910423
AC243621.2	CHR_HSCHR17_2_CTG5	45922376	45922376
KANSL1	CHR_HSCHR17_2_CTG5	46057728	46237041
LRRC37A2	CHR_HSCHR17_1_CTG5	45548173	45550562
CU024913.5	CHR_HSCHR19LRC_PGF1_CTG3_1	54574401	54580112
CES1P1	CHR_HSCHR16_1_CTG3_1	55773402	55790834
BX927214.4	CHR_HSCHR6_MHC_MANN_CTG1	30404553	30404553
AC138827.3	CHR_HSCHR5_2_CTG1_1	70240276	70240276
NAIPP4	CHR_HSCHR5_2_CTG1_1	70275822	70275822
BX322644.3	CHR_HSCHR6_MHC_QBL_CTG1	30122511	30122511
CDH12P4	CHR_HSCHR5_2_CTG1_1	70280062	70280356
CES1	CHR_HSCHR16_1_CTG3_1	55809832	55830035
AC146335.1	CHR_HSCHR5_2_CTG1_1	70355160	70355160
MRPS18B	CHR_HSCHR6_MHC_MCF_CTG1	30696298	30704850
AC139463.2	CHR_HSCHR5_2_CTG1_1	70590219	70590219
AC243658.1	CHR_HSCHR17_2_CTG5	46046922	46047379
KANSL1-AS1	CHR_HSCHR17_2_CTG5	46205177	46208324
AC138832.5	CHR_HSCHR5_2_CTG1_1	70660919	70661872
MAPK8IP1P1	CHR_HSCHR17_2_CTG5	46255525	46256963
AC243899.1	CHR_HSCHR17_2_CTG5	46272509	46272509
AL671859.5	CHR_HSCHR6_MHC_COX_CTG1	30122889	30122889
AC243899.2	CHR_HSCHR17_2_CTG5	46278924	46280579
AC008746.6	CHR_HSCHR19_4_CTG3_1	54387840	54388311
AC217769.2	CHR_HSCHR17_1_CTG5	45556925	45556925
NSFP1	CHR_HSCHR17_1_CTG5	45688015	45688015
ARL17B	CHR_HSCHR17_2_CTG5	46408852	46408885
ATAT1	CHR_HSCHR6_MHC_MCF_CTG1	30705297	30725280
LRRC37A	CHR_HSCHR17_1_CTG5	45766108	45768499
CES5A	CHR_HSCHR16_1_CTG3_1	55922335	55952925
AC245884.1	CHR_HSCHR19_4_CTG3_1	54442625	54442625
AC008746.1	CHR_HSCHR19_4_CTG3_1	54446275	54446275
AC008746.4	CHR_HSCHR19_4_CTG3_1	54447473	54447473
LENG8-AS1	CHR_HSCHR19_4_CTG3_1	54456939	54456970
AC127032.1	CHR_HSCHR17_1_CTG5	45835461	45836529
NSF	CHR_HSCHR17_2_CTG5	46419843	46586373
AC127032.2	CHR_HSCHR17_1_CTG5	45852968	45852968
AC138832.3	CHR_HSCHR5_2_CTG1_1	70691619	70691619
HMGN1P12	CHR_HSCHR5_2_CTG1_1	70753149	70753149
CR759890.2	CHR_HSCHR6_MHC_APD_CTG1	30423815	30423815
AL355140.1	CHR_HSCHR9_1_CTG2	69419862	69419862
APBA1	CHR_HSCHR9_1_CTG2	69484339	69484339
IGKV1D-8	CHR_HSCHR2_2_CTG7	90220727	90221384
AC145029.5	CHR_HSCHR2_2_CTG7	90245744	90246220
IGKV3D-7	CHR_HSCHR2_2_CTG7	90259509	90260067
AL355140.2	CHR_HSCHR9_1_CTG2	69480662	69482549
AC145029.3	CHR_HSCHR2_2_CTG7	90340444	90340547
IGKV1OR2-118	CHR_HSCHR2_2_CTG7	90347042	90347042
AC233263.4	CHR_HSCHR2_2_CTG7	90390015	90390015
AC233263.3	CHR_HSCHR2_2_CTG7	90395720	90397682
DHX16	CHR_HSCHR6_MHC_APD_CTG1	30725896	30736950
RPS7P11	CHR_HSCHR17_2_CTG5	46551093	46551093
WNT3	CHR_HSCHR17_2_CTG5	46647697	46662074
AC217779.1	CHR_HSCHR17_1_CTG5	46062802	46062802
WNT9B	CHR_HSCHR17_2_CTG5	46662121	46715644
MAMDC2	CHR_HSCHR9_1_CTG3	70043581	70176862
LINC01194	CHR_HSCHR5_1_CTG1	12686551	12731442
PPP1R18	CHR_HSCHR6_MHC_APD_CTG1	30751072	30751809
LINC02887	CHR_HSCHR17_1_CTG1	76866	76866
AC240565.4	CHR_HSCHR17_1_CTG1	118578	118578
SCGB1C2	CHR_HSCHR17_1_CTG1	137526	139067
MAMDC2-AS1	CHR_HSCHR9_1_CTG3	70113866	70113866
AC212493.1	CHR_HSCHR9_1_CTG3	70157527	70181968
DOC2B	CHR_HSCHR17_1_CTG1	180568	180568
AC008746.2	CHR_HSCHR19_4_CTG3_1	54529653	54529961
U2	CHR_HSCHR9_1_CTG3	70194830	70194830
NRM	CHR_HSCHR6_MHC_APD_CTG1	30754267	30755334
LINC02091	CHR_HSCHR17_1_CTG1	190502	190502
RPH3AL	CHR_HSCHR17_1_CTG1	384250	419308
AC009892.4	CHR_HSCHR19_4_CTG3_1	54560000	54560286
RPL7P4	CHR_HSCHR6_MHC_APD_CTG1	30761447	30761447
MDC1	CHR_HSCHR6_MHC_APD_CTG1	30781800	30781800
CR759281.3	CHR_HSCHR6_MHC_DBB_CTG1	30350165	30350165
PTMAP1	CHR_HSCHR6_MHC_MCF_CTG1	30712087	30712353
C6orf136	CHR_HSCHR6_MHC_MCF_CTG1	30725878	30731566
AC211856.1	CHR_HSCHR17_1_CTG1	352806	353888
AC129507.5	CHR_HSCHR17_1_CTG1	362640	364923
TAS2R7	CHR_HSCHR12_2_CTG2	10802627	10802627
AC243301.1	CHR_HSCHR17_1_CTG1	384081	390528
TAS2R8	CHR_HSCHR12_2_CTG2	10807293	10807293
AC243301.2	CHR_HSCHR17_1_CTG1	386179	389829
TAS2R9	CHR_HSCHR12_2_CTG2	10810168	10810168
PRR4	CHR_HSCHR12_2_CTG2	10882657	11203561
AL773535.1	CHR_HSCHR6_MHC_QBL_CTG1	30349400	30349400
AC009892.3	CHR_HSCHR19_4_CTG3_1	54597653	54598499
MDC1-AS1	CHR_HSCHR6_MHC_APD_CTG1	30766979	30777095
TUBB	CHR_HSCHR6_MHC_APD_CTG1	30784111	30789336
AL662831.3	CHR_HSCHR6_MHC_COX_CTG1	30349710	30349710
TAS2R10	CHR_HSCHR12_2_CTG2	10826358	10826358
AC006518.3	CHR_HSCHR12_2_CTG2	10832016	10832016
AC006518.4	CHR_HSCHR12_2_CTG2	10895882	10895882
TAS2R13	CHR_HSCHR12_2_CTG2	10909562	10909562
AC009892.6	CHR_HSCHR19_4_CTG3_1	54616083	54616589
FLOT1	CHR_HSCHR6_MHC_APD_CTG1	30794413	30794413
PRH2	CHR_HSCHR12_2_CTG2	10929236	10932341
STH	CHR_HSCHR17_1_CTG5	46098637	46098637
BX544879.1	CHR_HSCHR17_1_CTG5	46187101	46190209
TAS2R14	CHR_HSCHR12_2_CTG2	10939263	11203521
DDR1	CHR_HSCHR6_MHC_APD_CTG1	30949535	30953340
TAS2R15P	CHR_HSCHR12_2_CTG2	10965352	10965352
TAS2R50	CHR_HSCHR12_2_CTG2	10986912	10986912
TAS2R20	CHR_HSCHR12_2_CTG2	10997875	10997875
TAS2R19	CHR_HSCHR12_2_CTG2	11022620	11022620
TAS2R31	CHR_HSCHR12_2_CTG2	11031407	11031407
TAS2R63P	CHR_HSCHR12_2_CTG2	11049256	11049256
TAS2R46	CHR_HSCHR12_2_CTG2	11062294	11062294
TAS2R64P	CHR_HSCHR12_2_CTG2	11079171	11079171
TAS2R43	CHR_HSCHR12_2_CTG2	11092334	11092334
AC242308.1	CHR_HSCHR12_2_CTG2	11097291	11097291
AC242308.2	CHR_HSCHR12_2_CTG2	11116274	11116274
TAS2R45	CHR_HSCHR12_2_CTG2	11129718	11129718
TAS2R30	CHR_HSCHR12_2_CTG2	11166592	11166592
AC134349.3	CHR_HSCHR12_2_CTG2	11191642	11191642
AC134349.4	CHR_HSCHR12_2_CTG2	11203301	11203301
SMIM10L1	CHR_HSCHR12_2_CTG2	11203312	11203513
MUC21	CHR_HSCHR6_MHC_APD_CTG1	31047625	31053805
CR759964.1	CHR_HSCHR6_MHC_APD_CTG1	31094157	31098956
HCG22	CHR_HSCHR6_MHC_APD_CTG1	31120427	31126868
MICB	CHR_HSCHR6_MHC_APD_CTG1	31565061	31578081
PPIAP9	CHR_HSCHR6_MHC_APD_CTG1	31587248	31587248
RPL15P4	CHR_HSCHR6_MHC_APD_CTG1	31595070	31595649
MCCD1	CHR_HSCHR6_MHC_APD_CTG1	31595673	31597188
DDX39B	CHR_HSCHR6_MHC_APD_CTG1	31598700	31606140
AC012314.14	CHR_HSCHR19LRC_LRC_T_CTG3_1	54115536	54131896
LINC01896	CHR_HSCHR18_ALT2_CTG2_1	78978843	78979074
IGLV5-45	CHR_HSCHR22_1_CTG3	22375985	22376504
AC225613.1	CHR_HSCHR17_1_CTG5	46518953	46520589
AC120035.1	CHR_HSCHR8_6_CTG1	1160740	1186922
AC139677.3	CHR_HSCHR17_1_CTG5	46706769	46708058
AC242019.1	CHR_HSCHR8_6_CTG1	1247928	1260201
IGLV1-44	CHR_HSCHR22_1_CTG3	22380766	22381346
AC139677.2	CHR_HSCHR17_1_CTG5	46769907	46770900
AC139677.5	CHR_HSCHR17_1_CTG5	46785913	46785913
IGLV7-43	CHR_HSCHR22_1_CTG3	22395019	22395490
RDM1P2	CHR_HSCHR17_1_CTG5	46799540	46804933
SALL3	CHR_HSCHR18_ALT2_CTG2_1	78980275	79002677
IGLVI-42	CHR_HSCHR22_1_CTG3	22397030	22397522
AC009286.14	CHR_HSCHR22_1_CTG3	22402588	22403079
LRRC37A3	CHR_HSCHR17_1_CTG5	46805899	46851260
IGLVVII-41-1	CHR_HSCHR22_1_CTG3	22407947	22408097
IGLV1-41	CHR_HSCHR22_1_CTG3	22413303	22413817
IGLV1-40	CHR_HSCHR22_1_CTG3	22418863	22419379
ASH2LP1	CHR_HSCHR22_1_CTG3	22429412	22430396
OCA2	CHR_HSCHR15_4_CTG8	28099324	28099370
IGLVI-38	CHR_HSCHR22_1_CTG3	22434907	22435400
IGLV5-37	CHR_HSCHR22_1_CTG3	22436625	22437120
KRTAP16-1	CHR_HSCHR17_1_CTG4	41309253	41309253
KRTAP17-1	CHR_HSCHR17_1_CTG4	41315695	41315695
IGLV1-36	CHR_HSCHR22_1_CTG3	22441045	22441552
TBC1D3P7	CHR_HSCHR17_1_CTG4	41325648	41329544
AC009286.5	CHR_HSCHR22_1_CTG3	22455773	22457423
ATP9B	CHR_HSCHR18_ALT2_CTG2_1	79072883	79091276
AC003958.5	CHR_HSCHR17_1_CTG4	41334632	41335733
IGLV7-35	CHR_HSCHR22_1_CTG3	22459289	22459739
AC009286.10	CHR_HSCHR22_1_CTG3	22474747	22475074
KRT33A	CHR_HSCHR17_1_CTG4	41350812	41350812
ZNF280B	CHR_HSCHR22_1_CTG3	22518259	22518259
AC099689.5	CHR_HSCHR18_ALT2_CTG2_1	79088732	79090033
ZNF280A	CHR_HSCHR22_1_CTG3	22529375	22529375
KRT33B	CHR_HSCHR17_1_CTG4	41369800	41369800
AC139677.1	CHR_HSCHR17_1_CTG5	46875220	46875243
PRAME	CHR_HSCHR22_1_CTG3	22568445	22568466
MGAM	CHR_HSCHR7_2_CTG6	142038524	142106747
KRT34	CHR_HSCHR17_1_CTG4	41382400	41382400
LILRB1-AS1	CHR_HSCHR19_4_CTG3_1	54647090	54647090
AC207056.2	CHR_HSCHR17_1_CTG4	41389707	41389707
AC217775.1	CHR_HSCHR17_1_CTG5	46858400	46858400
KRT31	CHR_HSCHR17_1_CTG4	41404892	41404892
AC003958.7	CHR_HSCHR17_1_CTG4	41409741	41432374
AC003958.4	CHR_HSCHR17_1_CTG4	41419100	41419100
KRT37	CHR_HSCHR17_1_CTG4	41431848	41431848
RPL5P32	CHR_HSCHR15_4_CTG8	27895704	27896582
MGAM2	CHR_HSCHR7_2_CTG6	142111749	142222324
LINC02570	CHR_HSCHR6_MHC_MCF_CTG1	30926645	30926645
AC233263.5	CHR_HSCHR2_1_CTG7	90309230	90309333
7SK	CHR_HSCHR6_MHC_MCF_CTG1	30942815	30943117
DDR1-DT	CHR_HSCHR6_MHC_MCF_CTG1	30954477	30954477
SNORD117	CHR_HSCHR6_MHC_APD_CTG1	31603405	31603405
TNF	CHR_HSCHR6_MHC_APD_CTG1	31643520	31645322
LTB	CHR_HSCHR6_MHC_APD_CTG1	31649411	31649508
AC241851.1	CHR_HSCHR2_1_CTG7	90359876	90359876
AC241851.2	CHR_HSCHR2_1_CTG7	90365762	90367722
AC240137.1	CHR_HSCHR17_2_CTG1	323572	324508
AC129507.6	CHR_HSCHR17_2_CTG1	333260	335543
RPL41P2	CHR_HSCHR15_4_CTG8	28428588	28428996
AC243660.10	CHR_HSCHR15_4_CTG8	28445158	28447993
AC243660.2	CHR_HSCHR15_4_CTG8	28459418	28459575
AC243660.8	CHR_HSCHR15_4_CTG8	28470930	28470930
AC129507.8	CHR_HSCHR17_2_CTG1	354693	359636
LL22NC03-63E9.3	CHR_HSCHR22_1_CTG3	22568448	22575707
AC243660.6	CHR_HSCHR15_4_CTG8	28478612	28478612
AC129507.9	CHR_HSCHR17_2_CTG1	356792	358937
IGLV2-34	CHR_HSCHR22_1_CTG3	22588947	22589401
MOXD2P	CHR_HSCHR7_2_CTG6	142247086	142247086
IGLV2-33	CHR_HSCHR22_1_CTG3	22597260	22597793
IGLV3-32	CHR_HSCHR22_1_CTG3	22603633	22604161
IGLV3-31	CHR_HSCHR22_1_CTG3	22613550	22614270
PRSS58	CHR_HSCHR7_2_CTG6	142258078	142258078
IGLV3-30	CHR_HSCHR22_1_CTG3	22627677	22628268
LST1	CHR_HSCHR6_MHC_APD_CTG1	31653110	31655895
ABCB10P3	CHR_HSCHR15_4_CTG8	28515677	28517839
TRY2P	CHR_HSCHR7_2_CTG6	142271320	142272254
AC091304.8	CHR_HSCHR15_4_CTG8	28529259	28529484
AC243660.3	CHR_HSCHR15_4_CTG8	28535031	28535183
AC243660.4	CHR_HSCHR15_4_CTG8	28540731	28540883
AC243660.7	CHR_HSCHR15_4_CTG8	28546431	28546583
AC243913.4	CHR_HSCHR15_4_CTG8	28552131	28552283
AC243913.13	CHR_HSCHR15_4_CTG8	28557827	28557979
AC231381.4	CHR_HSCHR7_2_CTG6	142285779	142288898
AC243913.7	CHR_HSCHR15_4_CTG8	28563475	28563679
AC243913.12	CHR_HSCHR15_4_CTG8	28585644	28585769
PRSS3P3	CHR_HSCHR7_2_CTG6	142289809	142289809
AC243913.8	CHR_HSCHR15_4_CTG8	28599296	28599296
AC243913.5	CHR_HSCHR15_4_CTG8	28614963	28614963
TRBV1	CHR_HSCHR7_2_CTG6	142299217	142299500
AC243913.3	CHR_HSCHR15_4_CTG8	28636692	28636692
TRBV2	CHR_HSCHR7_2_CTG6	142300947	142301455
TRBV3-1	CHR_HSCHR7_2_CTG6	142308565	142309071
TRBV4-1	CHR_HSCHR7_2_CTG6	142313207	142313689
TRBV5-1	CHR_HSCHR7_2_CTG6	142320696	142321563
TRBV6-1	CHR_HSCHR7_2_CTG6	142328321	142328810
TRBV7-1	CHR_HSCHR7_2_CTG6	142332206	142332727
TRBV4-2	CHR_HSCHR7_2_CTG6	142345452	142346016
TRBV6-2	CHR_HSCHR7_2_CTG6	142349215	142349695
AC234635.8	CHR_HSCHR7_2_CTG6	142359222	142359681
AC234635.11	CHR_HSCHR7_2_CTG6	142362570	142363134
AC234635.7	CHR_HSCHR7_2_CTG6	142370836	142371348
TRBV7-2	CHR_HSCHR7_2_CTG6	142374511	142375050
TRBV8-1	CHR_HSCHR7_2_CTG6	142380331	142380609
TRBV5-2	CHR_HSCHR7_2_CTG6	142394342	142394614
TRBV6-4	CHR_HSCHR7_2_CTG6	142402503	142402958
TRBV7-3	CHR_HSCHR7_2_CTG6	142406045	142406551
TRBV8-2	CHR_HSCHR7_2_CTG6	142408088	142408357
TRBV5-3	CHR_HSCHR7_2_CTG6	142410913	142411379
TRBV9	CHR_HSCHR7_2_CTG6	142413602	142414123
AC243913.6	CHR_HSCHR15_4_CTG8	28687420	28691285
TRBV10-1	CHR_HSCHR7_2_CTG6	142421573	142422090
AC243913.10	CHR_HSCHR15_4_CTG8	28695142	28702879
TRBV11-1	CHR_HSCHR7_2_CTG6	142429379	142429843
AC243913.9	CHR_HSCHR15_4_CTG8	28706648	28706648
HERC2P1	CHR_HSCHR15_4_CTG8	28720895	28720895
TRBV12-1	CHR_HSCHR7_2_CTG6	142436931	142437373
TRBV10-2	CHR_HSCHR7_2_CTG6	142446652	142447152
GTF2H4	CHR_HSCHR6_MHC_MCF_CTG1	30986738	30992660
HERC2P9	CHR_HSCHR15_4_CTG8	28731693	28826770
TRBV11-2	CHR_HSCHR7_2_CTG6	142455594	142456093
TRBV12-2	CHR_HSCHR7_2_CTG6	142462583	142463025
TRBV6-5	CHR_HSCHR7_2_CTG6	142472647	142473148
TRBV7-4	CHR_HSCHR7_2_CTG6	142476873	142477334
TRBV5-4	CHR_HSCHR7_2_CTG6	142484618	142485283
AC055876.5	CHR_HSCHR15_4_CTG8	28853824	28853824
TRBV6-6	CHR_HSCHR7_2_CTG6	142491254	142491732
TRBV7-5	CHR_HSCHR7_2_CTG6	142495814	142496285
WHAMMP2	CHR_HSCHR15_4_CTG8	28879087	28900706
TRBV5-5	CHR_HSCHR7_2_CTG6	142504264	142504735
TRBV6-7	CHR_HSCHR7_2_CTG6	142509537	142510011
AC243657.1	CHR_HSCHR15_4_CTG8	28905656	28905656
AC243657.4	CHR_HSCHR15_4_CTG8	28929748	28933507
TRBV7-6	CHR_HSCHR7_2_CTG6	142513848	142514385
AC243657.2	CHR_HSCHR15_4_CTG8	28930704	28930991
TRBV5-6	CHR_HSCHR7_2_CTG6	142521745	142522251
PDCD6IPP2	CHR_HSCHR15_4_CTG8	28931169	28943001
KIF5C	CHR_HSCHR2_2_CTG7_2	148937284	149030199
TRBV6-8	CHR_HSCHR7_2_CTG6	142529032	142529526
TRBV7-7	CHR_HSCHR7_2_CTG6	142533342	142533843
TRBV5-7	CHR_HSCHR7_2_CTG6	142541804	142542270
AC233282.13	CHR_HSCHR7_2_CTG6	142549110	142549542
APBA2	CHR_HSCHR15_4_CTG8	29060035	29259075
AC233282.3	CHR_HSCHR7_2_CTG6	142553725	142554208
AC229888.2	CHR_HSCHR7_2_CTG6	142561449	142562408
TRBV7-9	CHR_HSCHR7_2_CTG6	142571143	142571615
TRBV13	CHR_HSCHR7_2_CTG6	142577660	142578143
TRBV10-3	CHR_HSCHR7_2_CTG6	142586067	142586516
TRBV11-3	CHR_HSCHR7_2_CTG6	142596665	142597147
AC011515.3	CHR_HSCHR19_4_CTG3_1	54679429	54680789
TRBV12-3	CHR_HSCHR7_2_CTG6	142602235	142602743
TRBV12-4	CHR_HSCHR7_2_CTG6	142605549	142606054
IER3	CHR_HSCHR6_MHC_SSTO_CTG1	30736815	30736815
AC098784.1	CHR_HSCHR19_4_CTG3_1	54712477	54712760
TRBV12-5	CHR_HSCHR7_2_CTG6	142622755	142623265
AC011476.5	CHR_HSCHR19LRC_LRC_T_CTG3_1	54850138	54857077
TRBV14	CHR_HSCHR7_2_CTG6	142629704	142630195
TRBV15	CHR_HSCHR7_2_CTG6	142634764	142635309
NCR3	CHR_HSCHR6_MHC_APD_CTG1	31659798	31659971
TRBV16	CHR_HSCHR7_2_CTG6	142639852	142640305
TRBV17	CHR_HSCHR7_2_CTG6	142643462	142644194
HCG20	CHR_HSCHR6_MHC_SSTO_CTG1	30780908	30784476
TRBV18	CHR_HSCHR7_2_CTG6	142657499	142658198
TRBV19	CHR_HSCHR7_2_CTG6	142660632	142661315
BX571801.1	CHR_HSCHR6_MHC_SSTO_CTG1	30822832	30822832
TRBV20-1	CHR_HSCHR7_2_CTG6	142668431	142669181
BX248321.1	CHR_HSCHR6_MHC_SSTO_CTG1	31022110	31027602
TRBV21-1	CHR_HSCHR7_2_CTG6	142678692	142679152
TRBV22-1	CHR_HSCHR7_2_CTG6	142683514	142683964
TRBV23-1	CHR_HSCHR7_2_CTG6	142687733	142688229
TRBV24-1	CHR_HSCHR7_2_CTG6	142697038	142697550
MTRNR2L6	CHR_HSCHR7_2_CTG6	142706945	142708391
TRBV25-1	CHR_HSCHR7_2_CTG6	142711413	142711917
TRBVA	CHR_HSCHR7_2_CTG6	142722076	142722530
TCF19	CHR_HSCHR6_MHC_SSTO_CTG1	31153422	31159096
TRBV26	CHR_HSCHR7_2_CTG6	142736369	142736853
TRBVB	CHR_HSCHR7_2_CTG6	142752085	142752625
TRBV27	CHR_HSCHR7_2_CTG6	142756048	142756563
TRBV28	CHR_HSCHR7_2_CTG6	142761362	142761862
PGBD4P1	CHR_HSCHR7_2_CTG6	142763060	142763466
TRBV29-1	CHR_HSCHR7_2_CTG6	142780919	142781607
UQCRHP1	CHR_HSCHR6_MHC_APD_CTG1	31678372	31678372
PRSS1	CHR_HSCHR7_2_CTG6	142790185	142793793
MSH5	CHR_HSCHR6_MHC_APD_CTG1	31823611	31830163
CR936875.2	CHR_HSCHR6_MHC_MCF_CTG1	30986796	31005022
POU5F1	CHR_HSCHR6_MHC_SSTO_CTG1	31165590	31165590
PRSS3P1	CHR_HSCHR7_2_CTG6	142801130	142804658
PRSS3P2	CHR_HSCHR7_2_CTG6	142811706	142815230
FAM189A1	CHR_HSCHR15_4_CTG8	29720617	29720617
VARS2	CHR_HSCHR6_MHC_MCF_CTG1	30992759	31005022
AC239618.20	CHR_HSCHR7_2_CTG6	142821798	142825331
PRSS2	CHR_HSCHR7_2_CTG6	142832063	142835652
WBP1LP1	CHR_HSCHR7_2_CTG6	142840629	142840629
TRBD1	CHR_HSCHR7_2_CTG6	142847306	142847317
AC243902.2	CHR_HSCHR15_4_CTG8	29376383	29376383
TRBJ1-1	CHR_HSCHR7_2_CTG6	142847973	142848020
AC243902.1	CHR_HSCHR15_4_CTG8	29375114	29375225
NSMCE3	CHR_HSCHR15_4_CTG8	29411093	29411093
TRBJ1-2	CHR_HSCHR7_2_CTG6	142848110	142848157
AC243686.1	CHR_HSCHR15_4_CTG8	29518158	29518158
TRBJ1-3	CHR_HSCHR7_2_CTG6	142848723	142848772
TRBJ1-4	CHR_HSCHR7_2_CTG6	142849318	142849368
TRBJ1-5	CHR_HSCHR7_2_CTG6	142849591	142849640
TJP1	CHR_HSCHR15_4_CTG8	29972346	29972346
TRBJ1-6	CHR_HSCHR7_2_CTG6	142850081	142850133
TRBC1	CHR_HSCHR7_2_CTG6	142852787	142854461
TRBJ2-1	CHR_HSCHR7_2_CTG6	142857458	142857507
TRBJ2-2	CHR_HSCHR7_2_CTG6	142857653	142857703
TRBJ2-2P	CHR_HSCHR7_2_CTG6	142857790	142857835
TRBJ2-3	CHR_HSCHR7_2_CTG6	142857940	142857988
TRBJ2-4	CHR_HSCHR7_2_CTG6	142858091	142858140
TRBJ2-5	CHR_HSCHR7_2_CTG6	142858212	142858259
TRBJ2-6	CHR_HSCHR7_2_CTG6	142858332	142858384
TRBJ2-7	CHR_HSCHR7_2_CTG6	142858549	142858595
TRBC2	CHR_HSCHR7_2_CTG6	142862134	142863838
TRBV30	CHR_HSCHR7_2_CTG6	142874492	142874492
EPHB6	CHR_HSCHR7_2_CTG6	142916237	142932255
MSH5-SAPCD1	CHR_HSCHR6_MHC_APD_CTG1	31825184	31831870
KCNQ1	CHR_HSCHR11_1_CTG7	2768844	2849088
COX6CP18	CHR_HSCHR11_1_CTG7	2771356	2771577
KCNQ1-AS1	CHR_HSCHR11_1_CTG7	2861539	2861539
KCNQ1DN	CHR_HSCHR11_1_CTG7	2870047	2872091
SAPCD1	CHR_HSCHR6_MHC_APD_CTG1	31829818	31831870
AC001228.1	CHR_HSCHR11_1_CTG7	2871423	2871484
CDKN1C	CHR_HSCHR11_1_CTG7	2885772	2885904
SAPCD1-AS1	CHR_HSCHR6_MHC_APD_CTG1	31832607	31832607
VWA7	CHR_HSCHR6_MHC_APD_CTG1	31844312	31844312
SLC22A18AS	CHR_HSCHR11_1_CTG7	2903769	2903769
SLC9A3	CHR_HSCHR5_5_CTG1	524332	524332
AC106772.2	CHR_HSCHR5_5_CTG1	524705	526594
AC106772.5	CHR_HSCHR5_5_CTG1	613884	613884
CEP72	CHR_HSCHR5_5_CTG1	614020	626253
AL078601.1	CHR_HSCHR6_1_CTG2	79354713	79354713
SLC22A18	CHR_HSCHR11_1_CTG7	2899745	2925175
AL078601.2	CHR_HSCHR6_1_CTG2	79384784	79385673
CR847861.1	CHR_HSCHR6_MHC_MANN_CTG1	30875311	30875311
VARS1	CHR_HSCHR6_MHC_APD_CTG1	31845200	31862971
AL078601.6	CHR_HSCHR6_1_CTG2	79434606	79434606
AL078601.3	CHR_HSCHR6_1_CTG2	79448129	79449137
AL078601.4	CHR_HSCHR6_1_CTG2	79464999	79464999
AC243587.1	CHR_HSCHR15_4_CTG8	29880557	29880829
GOLGA8J	CHR_HSCHR15_4_CTG8	30233872	30247618
AC012572.2	CHR_HSCHR18_1_CTG2_1	78505165	78506451
AL035045.2	CHR_HSCHR20_1_CTG1	17815038	17815038
U8	CHR_HSCHR15_4_CTG8	30263132	30263264
AC207480.1	CHR_HSCHR20_1_CTG1	17872581	17878345
AC243790.1	CHR_HSCHR15_4_CTG8	30361040	30361438
AL035045.3	CHR_HSCHR20_1_CTG1	17894176	17894176
CHRFAM7A	CHR_HSCHR15_4_CTG8	30544252	30544252
TRPV6	CHR_HSCHR7_2_CTG6	142946922	142946922
AC011841.1	GL000205.2	104855	104855
SFTA2	CHR_HSCHR6_MHC_MCF_CTG1	31010647	31010713
CCL18	CHR_HSCHR17_10_CTG4	36064280	36072032
ARHGAP11B	CHR_HSCHR15_4_CTG8	30776860	30837039
MUCL3	CHR_HSCHR6_MHC_MCF_CTG1	31019512	31029672
HCG21	CHR_HSCHR6_MHC_MCF_CTG1	31024900	31024900
